#	имя	Вес		D	s
425	114x2	5.52	7.29	114	2
426	114x2.2	6.07	8.03	114	2.2
427	114x2.5	6.87	9.15	114	2.5
428	114x2.8	7.68	10.27	114	2.8
429	114x3	8.21	11.03	114	3
430	114x3.2	8.74	11.78	114	3.2
431	114x3.5	9.54	12.92	114	3.5
432	114x3.8	10.33	14.06	114	3.8
433	114x4	10.85	14.83	114	4
434	114x4.5	12.15	16.75	114	4.5
435	114x5	13.44	18.69	114	5
436	114x5.5	14.72	20.65	114	5.5
437	127x1.8	5.56	7.28	127	1.8
438	127x2	6.17	8.11	127	2
439	127x2.2	6.77	8.93	127	2.2
440	127x2.5	7.68	10.17	127	2.5
441	127x2.8	8.58	11.42	127	2.8
442	127x3	9.17	12.25	127	3
443	127x3.2	9.77	13.09	127	3.2
444	127x3.5	10.66	14.35	127	3.5
445	127x3.8	11.55	15.61	127	3.8
446	127x4	12.13	16.46	127	4
447	127x4.5	13.59	18.59	127	4.5
448	127x5	15.04	20.73	127	5
449	127x5.5	16.48	22.89	127	5.5
450	133x1.8	5.82	7.62	133	1.8
451	133x2	6.46	8.48	133	2
452	133x2.2	7.1	9.34	133	2.2
453	133x2.5	8.05	10.64	133	2.5
454	133x2.8	8.99	11.95	133	2.8
455	133x3	9.62	12.82	133	3
456	133x3.2	10.24	13.69	133	3.2
457	133x3.5	11.18	15.01	133	3.5
458	133x3.8	12.11	16.33	133	3.8
459	133x4	12.72	17.22	133	4
460	133x4.5	14.26	19.44	133	4.5
461	133x5	15.78	21.68	133	5
462	133x5.5	17.29	23.93	133	5.5
463	140x1.8	6.13	8.02	140	1.8
464	140x2	6.81	8.92	140	2
465	140x2.2	7.48	9.83	140	2.2
466	140x2.5	8.48	11.19	140	2.5
467	140x2.8	9.47	12.56	140	2.8
468	140x3	10.14	13.48	140	3
469	140x3.2	10.8	14.4	140	3.2
470	140x3.5	11.78	15.78	140	3.5
471	140x3.8	12.76	17.17	140	3.8
472	140x4	13.42	18.1	140	4
473	140x4.5	15.04	20.43	140	4.5
474	140x5	16.65	22.78	140	5
475	140x5.5	18.24	25.14	140	5.5
476	152x1.8	6.67	8.7	152	1.8
477	152x2	7.4	9.68	152	2
478	152x2.2	8.13	10.66	152	2.2
479	152x2.5	9.22	12.13	152	2.5
480	152x2.8	10.3	13.62	152	2.8
481	152x3	11.02	14.61	152	3
482	152x3.2	11.74	15.6	152	3.2
483	152x3.5	12.82	17.1	152	3.5
484	152x3.8	13.89	18.6	152	3.8
485	152x4	14.6	19.6	152	4
486	152x4.5	16.37	22.12	152	4.5
487	152x5	18.13	24.66	152	5
488	152x5.5	19.87	27.21	152	5.5
489	159x1.8	6.98	9.09	159	1.8
490	159x2	7.74	10.12	159	2
491	159x2.2	8.51	11.14	159	2.2
492	159x2.5	9.65	12.68	159	2.5
493	159x2.8	10.79	14.23	159	2.8
494	159x3	11.54	15.27	159	3
495	159x3.2	12.29	16.31	159	3.2
496	159x3.5	13.42	17.87	159	3.5
497	159x3.8	14.54	19.44	159	3.8
498	159x4	15.29	20.48	159	4
499	159x4.5	17.15	23.11	159	4.5
500	159x5	18.99	25.76	159	5
501	159x5.5	20.82	28.42	159	5.5
502	159x6	22.64	31.1	159	6
503	159x7	26.24	36.51	159	7
504	159x8	29.79	41.97	159	8
505	168x1.8	7.38	9.6	168	1.8
506	168x2	8.19	10.68	168	2
507	168x2.2	9	11.76	168	2.2
508	168x2.5	10.2	13.39	168	2.5
509	168x2.8	11.41	15.02	168	2.8
510	168x3	12.21	16.12	168	3
511	168x3.2	13.01	17.21	168	3.2
512	168x3.5	14.2	18.86	168	3.5
513	168x3.8	15.39	20.51	168	3.8
514	168x4	16.18	21.61	168	4
515	168x4.5	18.14	24.39	168	4.5
516	168x5	20.1	27.17	168	5
517	168x5.5	22.04	29.98	168	5.5
518	168x6	23.97	32.8	168	6
519	168x7	27.79	38.48	168	7
520	168x8	31.57	44.23	168	8
521	177.8x1.8	7.81	10.16	177.8	1.8
522	177.8x2	8.67	11.3	177.8	2
523	177.8x2.2	9.53	12.44	177.8	2.2
524	177.8x2.5	10.81	14.16	177.8	2.5
525	177.8x2.8	12.08	15.89	177.8	2.8
526	177.8x3	12.93	17.04	177.8	3
527	177.8x3.2	13.78	18.2	177.8	3.2
528	177.8x3.5	15.04	19.93	177.8	3.5
529	177.8x3.8	16.31	21.68	177.8	3.8
530	177.8x4	17.14	22.85	177.8	4
531	177.8x4.5	19.23	25.77	177.8	4.5
532	177.8x5	21.31	28.71	177.8	5
533	177.8x5.5	23.37	31.67	177.8	5.5
534	177.8x6	25.42	34.65	177.8	6
535	177.8x7	29.48	40.64	177.8	7
536	177.8x8	33.5	46.7	177.8	8
537	180x4	17.36	23.12	180	4
538	180x5	21.58	29.06	180	5
539	193.7x2	9.45	12.3	193.7	2
540	193.7x2.2	10.39	13.54	193.7	2.2
541	193.7x2.5	11.79	15.41	193.7	2.5
542	193.7x2.8	13.18	17.29	193.7	2.8
543	193.7x3	14.11	18.54	193.7	3
544	193.7x3.2	15.03	19.79	193.7	3.2
545	193.7x3.5	16.42	21.68	193.7	3.5
546	193.7x3.8	17.8	23.58	193.7	3.8
547	193.7x4	18.71	24.84	193.7	4
548	193.7x4.5	21	28.02	193.7	4.5
549	193.7x5	23.27	31.21	193.7	5
550	193.7x5.5	25.53	34.42	193.7	5.5
551	193.7x6	27.77	37.64	193.7	6
552	193.7x7	32.23	44.14	193.7	7
553	193.7x8	36.64	50.69	193.7	8
554	219x2.5	13.35	17.4	219	2.5
555	219x2.8	14.93	19.51	219	2.8
556	219x3	15.98	20.92	219	3
557	219x3.2	17.03	22.34	219	3.2
558	219x3.5	18.6	24.47	219	3.5
559	219x3.8	20.17	26.6	219	3.8
560	219x4	21.21	28.02	219	4
561	219x4.5	23.8	31.6	219	4.5
562	219x5	26.39	35.19	219	5
563	219x5.5	28.96	38.79	219	5.5
564	219x6	31.52	42.41	219	6
565	219x7	36.6	49.7	219	7
566	219x8	41.63	57.05	219	8
567	219x9	46.61	64.47	219	9
568	244.5x3	17.87	23.33	244.5	3
569	244.5x3.2	19.04	24.9	244.5	3.2
570	244.5x3.5	20.8	27.27	244.5	3.5
571	244.5x3.8	22.56	29.64	244.5	3.8
572	244.5x4	23.72	31.23	244.5	4
573	244.5x4.5	26.63	35.2	244.5	4.5
574	244.5x5	29.53	39.19	244.5	5
575	244.5x5.5	32.42	43.2	244.5	5.5
576	244.5x6	35.29	47.22	244.5	6
577	244.5x7	41	55.31	244.5	7
578	244.5x8	46.66	63.46	244.5	8
579	244.5x9	52.27	71.68	244.5	9
580	273x3.5	23.26	30.4	273	3.5
581	273x3.8	25.23	33.04	273	3.8
582	273x4	26.53	34.81	273	4
583	273x4.5	29.8	39.23	273	4.5
584	273x5	33.05	43.67	273	5
585	273x5.5	36.28	48.12	273	5.5
586	273x6	39.51	52.59	273	6
